,,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,val4
var1,,activity,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather,call,circumplex.arousal,circumplex.valence,mood,screen,sms,mood
id-1,time4,,,,,,,,,,,,,,,,,,,,
AS14.01,1900-03-24,0.17122381301147013,11.394909509385302,53.41153980934479,43.711555555555556,8.023027777777779,0.0,0.0,18.70882341269841,53.94142592592593,0.0,0.0,30.774,0.0,0.0,0.3333333333333333,0.5,6.466666666666668,89.44905551110453,0.0,6.0
AS14.01,1900-03-25,0.15286079705353992,8.299353849336539,50.89359343057736,66.74401388888889,7.853472222222223,0.0,0.0,12.41686507936508,53.883552540913,0.0,0.0,52.88633333333333,0.0,0.0,0.5333333333333333,0.4,6.3999999999999995,63.81783124009079,0.0,6.75
AS14.01,1900-03-26,0.10669209477038948,9.047925253316434,56.80707484949628,62.55768055555556,9.099527777777778,0.0,0.0,17.677777777777777,64.52239777900824,0.0,0.0,47.247099999999996,0.0,0.0,0.5,0.43333333333333335,6.516666666666667,104.31237533942745,0.0,6.6
AS14.01,1900-03-27,0.0928811633920602,7.823167573980001,54.68024265588585,95.43093452380953,8.389888888888889,0.0,0.0,19.04861111111111,89.21009497620544,0.0,0.0,48.3401,0.0,0.0,0.3666666666666667,0.3666666666666667,6.45,113.41971445372752,0.0,7.0
AS14.01,1900-03-28,0.11973102500989337,8.823213277318807,53.28408026272346,78.40303174603174,11.18611111111111,0.0,0.0,18.602722222222223,88.20487434412435,0.0,0.0,23.976554545454547,0.0,0.0,0.16666666666666666,0.6333333333333334,6.783333333333334,130.89601849510575,0.0,6.4
AS14.01,1900-03-29,0.11883899475876451,32.530908574322666,38.16447615861936,97.50212265512266,0.0,0.0,0.0,21.221166666666665,73.89971243936243,0.0,0.0,26.60402121212121,0.0,0.0,-0.19999999999999998,0.6666666666666666,6.666666666666667,93.17983688666216,0.0,8.0
AS14.01,1900-03-30,0.10780382423602908,37.55275506172154,38.38777768031189,90.3110686868687,0.0,0.0,0.0,23.88051587301587,52.2334782051282,0.0,0.0,23.8245351010101,0.0,0.0,-0.06666666666666665,0.7999999999999999,7.133333333333333,105.06360616144775,0.0,7.5
AS14.01,1900-03-31,0.07099793408684392,37.49794329173053,44.5479014898357,123.5087723905724,0.0,0.0,0.0,24.740015873015867,46.881016666666675,0.0,0.0,31.164747222222218,0.0,0.0,-0.3,0.7833333333333333,7.3,117.83871728569845,0.0,7.4
AS14.01,1900-04-01,0.06260042050226707,16.121146387763154,50.30109378096404,110.28632854030502,0.0,0.0,0.0,20.32518253968254,57.094430555555554,0.0,0.0,25.231141339869282,0.0,0.0,-0.09999999999999999,0.7833333333333333,7.633333333333333,131.00858397923685,0.0,6.0
AS14.01,1900-04-02,0.07934723137255585,10.1956032359026,45.43323381401769,88.43564242919392,0.0,0.0,0.0,17.298861111111112,52.6636941919192,0.0,0.0,23.27952868554829,0.0,0.0,-0.09999999999999999,0.45,6.966666666666666,117.79125404996451,0.0,6.5
AS14.01,1900-04-03,0.09695511141144969,13.065820417149027,36.074329516689,46.999819951543834,11.71137231968811,0.0,0.0,21.036003623188407,55.59675708500095,0.0,0.0,17.626091185548294,0.0,1.0,0.1,0.3,6.633333333333333,93.45133450365574,0.0,6.4
AS14.01,1900-04-04,0.08986610868646687,10.451213107167654,37.76980606562258,46.34051904656645,0.0,0.0,0.0,17.651381400966184,51.646303055267,0.0,0.0,18.18892527302944,0.0,1.0,-0.5,0.0,6.3,88.25108602828942,0.0,6.2
AS14.01,1900-04-05,0.09261479818466345,11.933877389382959,41.582546934009535,64.21834543545533,0.0,0.0,0.0,19.968506400966184,60.35264861430566,0.0,0.0,15.098152243589743,0.0,0.0,-0.5,0.2,6.366666666666667,84.91668828037028,0.0,6.8
AS14.01,1900-04-06,0.09831002870640414,60.79160536266415,42.89965408848107,74.23357532051281,0.0,0.0,0.0,15.983562301587304,53.92158572122389,0.0,0.0,12.392034188034188,0.0,0.0,-0.4666666666666666,0.3333333333333333,6.466666666666668,71.08869776212974,0.0,6.5
AS14.01,1900-04-07,0.10336647095107983,69.04810261946317,43.40448233836624,88.85089583333333,0.0,0.0,0.0,17.8479623015873,60.5436091954023,0.0,0.0,10.788839316239317,0.0,0.0,-0.31666666666666665,0.5,6.5,71.82232783805095,0.0,6.5
AS14.01,1900-04-08,0.07802690760674384,68.00883185239361,47.554328623108155,81.49872222222223,0.0,0.0,0.0,17.579087301587304,57.05625,0.0,0.0,24.639961111111116,0.0,0.0,-0.575,0.45,6.6000000000000005,71.92974626059221,0.0,6.6
AS14.01,1900-04-09,0.06346849295937818,15.570123247960131,51.35376603243458,111.06586507936508,0.0,0.0,0.0,23.692468253968254,61.59014629629629,0.0,0.0,26.258016666666673,0.0,1.0,-0.575,0.375,6.533333333333334,77.9994264073291,0.0,7.4
AS14.01,1900-04-10,0.08212726465599839,7.449228831155267,48.08407038281671,105.99603174603175,0.0,0.0,0.0,31.51860714285714,54.8800525462963,0.0,0.0,61.66535000000001,0.0,1.0,-0.6000000000000001,0.25,6.833333333333333,73.13132328069969,0.0,7.4
AS14.01,1900-04-11,0.09155809266285612,7.318011166890446,50.77402366447046,132.79189285714287,0.0,0.0,0.0,28.917398809523807,47.440546990740735,0.0,0.0,52.90747777777778,0.0,0.0,-0.5333333333333333,0.8,7.133333333333333,79.91016106663521,0.0,7.0
AS14.01,1900-04-12,0.09311114060009346,13.44420781535875,43.59690642043329,118.93795833333336,0.0,0.0,0.0,21.79898611111111,43.07572761752137,0.0,0.0,54.833570370370374,0.0,0.0,-0.8000000000000002,0.8,7.266666666666667,84.69428076559716,0.0,7.25
AS14.01,1900-04-13,0.0770661229127566,12.116973247457514,78.67733002036174,153.54106944444445,0.0,0.0,0.0,11.118545634920636,43.04582136752137,0.0,0.0,0.0,0.0,0.0,-0.7833333333333333,0.7833333333333333,7.216666666666666,145.5486269830319,0.0,8.0
AS14.01,1900-04-14,0.055418864165916466,11.988992904339616,72.87774973050666,122.68781944444443,0.0,0.0,0.0,9.476738816738818,35.743743589743595,0.0,0.0,0.0,0.0,0.0,-1.0666666666666667,0.85,7.416666666666667,130.96949933845255,0.0,7.2
AS14.01,1900-04-15,0.05671923496485768,5.788666659750873,80.84551771336555,153.53616283524903,0.0,0.0,0.0,10.648738816738819,74.55183333333333,0.0,0.0,0.0,0.0,0.0,-1.0666666666666667,0.7833333333333333,7.483333333333333,148.55799472892787,0.0,6.4
AS14.01,1900-04-16,0.06267359873499338,6.166942484098428,46.61547731363077,109.37111312764671,0.0,0.0,0.0,13.019429292929294,93.40821212121215,0.0,0.0,0.0,0.0,0.0,-0.8166666666666668,0.8000000000000002,7.2,99.01301086071864,0.0,7.2
AS14.01,1900-04-17,0.09670326779257722,6.132650900142792,43.04136427015251,96.49092794246151,0.0,0.0,0.0,12.43038888888889,109.64468338557994,0.0,0.0,25.448132348111656,0.0,0.0,-0.6,0.7,6.933333333333334,105.20854968284043,0.0,6.6
AS14.01,1900-04-18,0.0877134485266481,5.940386268203935,62.13062590793709,33.955776218323585,0.0,0.0,0.0,11.984144444444444,78.94658338557996,0.0,0.0,19.638860317460317,0.0,0.0,-0.2,0.7,6.733333333333334,109.15361635390623,0.0,6.8
AS14.01,1900-04-19,0.08902039983139838,8.222892186669753,70.28426263146117,46.0649925925926,0.0,0.0,0.0,8.125644444444443,111.86360459770117,0.0,0.0,20.367122222222225,0.0,0.0,-0.6000000000000001,0.7,6.866666666666667,127.64917657858614,0.0,7.8
AS14.01,1900-04-20,0.08346092503030439,8.700165369898444,69.77344531544385,64.2332888888889,0.0,0.0,0.0,7.958666666666666,101.89716363636364,0.0,0.0,24.24,0.0,1.0,-0.46666666666666673,0.7999999999999999,7.066666666666666,156.38884078623872,0.0,7.25
AS14.01,1900-04-21,0.0894270538206441,9.119395417985082,52.62326158315097,74.95866666666667,12.75481746031746,0.0,0.0,6.654599999999999,109.5641803030303,0.0,0.0,22.75027777777778,0.0,1.0,-0.4166666666666667,0.85,7.283333333333334,137.57637187129768,0.0,7.6
AS14.01,1900-04-22,0.09209640457840113,15.731572443001028,45.43346236081093,52.51888888888889,10.77661111111111,0.0,0.0,8.248866666666666,63.527351731601726,0.0,0.0,22.389677777777777,0.0,1.0,-0.225,0.9166666666666666,7.55,106.94204096575356,0.0,7.4
AS14.01,1900-04-23,0.08959561794455173,17.218932540539072,49.20705580851549,39.55545634920635,7.6001666666666665,0.0,0.0,9.658955555555556,74.08711507936508,0.0,0.0,17.78159841269841,0.0,1.0,-0.024999999999999994,0.9166666666666666,7.416666666666667,81.11987551695519,0.0,7.6
AS14.01,1900-04-24,0.07998543330810158,17.825349673473667,48.1458135932595,32.2150119047619,7.838166666666667,0.0,0.0,9.734266666666665,57.6350873015873,0.0,0.0,21.230249927849925,0.0,1.0,0.2,1.0,7.533333333333334,82.17149998375362,0.0,7.6
